name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac AMP Extreme,NVIDIA,,8192.0,1607,1683,325,0,5,GeForce GTX 1070 Ti
Zotac GAMING Trinity,NVIDIA,,24576.0,1395,1695,318,0,7,GeForce RTX 3090
Zotac ZT-70601-10M,NVIDIA,395.0,2048.0,1033,1111,144,0,1,GeForce GTX 750 Ti
Zotac ZT-90101-10P,NVIDIA,,4096.0,1076,1216,203,0,28,GeForce GTX 970
Zotac ZT-71113-20L,NVIDIA,108.51,2048.0,902,,146,0,2,GeForce GT 730
Zotac AMP Extreme Core Holo,NVIDIA,,24576.0,1560,1890,356,0,3,GeForce RTX 3090 Ti
Zotac GAMING Trinity OC,NVIDIA,,10240.0,1440,1725,318,0,2,GeForce RTX 3080 10GB LHR
Zotac Twin Edge,NVIDIA,441.99,8192.0,1410,1665,222,0,5,GeForce RTX 3060 Ti
Zotac AMP,NVIDIA,,8192.0,1607,1683,300,0,10,GeForce GTX 1070 Ti
Zotac GAMING Trinity OC,NVIDIA,1299.0,16384.0,2205,2520,356,0,0,GeForce RTX 4080
Zotac GAMING OC,NVIDIA,,4096.0,1485,1695,151,0,4,GeForce GTX 1650 G5
Zotac AMP Extreme,NVIDIA,,8192.0,1771,1911,325,0,1,GeForce GTX 1080
Zotac GAMING,NVIDIA,,8192.0,1650,1815,268,0,1,GeForce RTX 2080 SUPER
Zotac GAMING OC Spider-Man: Across The Spider-Verse,NVIDIA,,8192.0,1830,2475,222,0,0,GeForce RTX 4060
Zotac GAMING Trinity,NVIDIA,899.99,8192.0,1575,1770,318,0,0,GeForce RTX 3070 Ti
Zotac MINI,NVIDIA,,2048.0,1354,1455,145,0,16,GeForce GTX 1050
Zotac AMP Extreme,NVIDIA,,8192.0,1632,1835,325,0,7,GeForce GTX 1070
Zotac AMP Extreme,NVIDIA,,8192.0,1605,1830,308,0,2,GeForce RTX 2070 SUPER
Zotac GAMING Low Profile,NVIDIA,,4096.0,1485,1665,160,0,1,GeForce GTX 1650 G5
Zotac GAMING AMP Extreme AIRO,NVIDIA,1349.0,16384.0,2205,2565,356,0,3,GeForce RTX 4080
Zotac GAMING AMP AIRO,NVIDIA,,12288.0,2310,2670,308,0,1,GeForce RTX 4070 Ti
Zotac GAMING OC MINI,NVIDIA,,8192.0,1410,1650,211,0,1,GeForce RTX 2070
Zotac Blower,NVIDIA,,11264.0,1480,1582,267,0,1,GeForce GTX 1080 Ti
Zotac AMP Extreme Holo,NVIDIA,,8192.0,1575,1890,356,0,0,GeForce RTX 3070 Ti
Zotac GAMING,NVIDIA,,6144.0,1530,1785,173,0,6,GeForce GTX 1660
Zotac GAMING AMP,NVIDIA,,8192.0,1605,1800,268,0,1,GeForce RTX 2070 SUPER
Zotac GAMING AMP Extreme Holo,NVIDIA,,24576.0,1395,1815,356,0,0,GeForce RTX 3090
Zotac AMP Extreme Core,NVIDIA,,11264.0,1607,1721,325,0,4,GeForce GTX 1080 Ti
Zotac AMP,NVIDIA,,3072.0,1582,1797,206,0,0,GeForce GTX 1060 3GB
Zotac AMP Extreme,NVIDIA,,6144.0,1253,1355,329,0,8,GeForce GTX 980 Ti
Zotac AMP Extreme,NVIDIA,,11264.0,1545,1815,324,0,1,GeForce RTX 2080 Ti
Zotac GAMING Trinity OC,NVIDIA,,10240.0,1440,1740,318,0,1,GeForce RTX 3080 10GB
Zotac GAMING AMP Holo,NVIDIA,,10240.0,1440,1770,318,0,0,GeForce RTX 3080 10GB LHR
Zotac Blower,NVIDIA,,8192.0,1515,1710,268,0,1,GeForce RTX 2080
Zotac GAMING AMP AIRO,NVIDIA,,12288.0,1920,2535,308,0,2,GeForce RTX 4070
Zotac AMP Extreme,NVIDIA,,8192.0,1410,1860,308,0,6,GeForce RTX 2070
Zotac Blower,NVIDIA,,11264.0,1350,1545,268,0,0,GeForce RTX 2080 Ti
Zotac GAMING AMP,NVIDIA,,6144.0,1500,1860,,0,4,GeForce GTX 1660 Ti
Zotac GAMING,NVIDIA,,8192.0,1650,1815,308,0,2,GeForce RTX 2080 SUPER
Zotac GAMING AMP Extreme,NVIDIA,,8192.0,1470,1710,308,0,1,GeForce RTX 2060 SUPER
Zotac GAMING Low Profile,NVIDIA,,4096.0,1410,1590,160,0,0,GeForce GTX 1650 G6
Zotac ZT-50608-10L,NVIDIA,,512.0,810,,167,0,0,GeForce GT 520
Zotac AMP Extreme Holo,NVIDIA,1039.0,12288.0,1365,1785,356,0,0,GeForce RTX 3080 Ti
Zotac AMP,NVIDIA,,8192.0,1470,1680,268,0,0,GeForce RTX 2060 SUPER
